Date,Code,ShortMarginTradeVolume,LongMarginTradeVolume,ShortNegotiableMarginTradeVolume,LongNegotiableMarginTradeVolume,ShortStandardizedMarginTradeVolume,LongStandardizedMarginTradeVolume,IssueType,original_code,margin_ratio,short_change_pct,long_change_pct,code,date,Close,next_week_return,code_meta,stock_name,is_core30,is_policy,sectors
2025-11-21,18030,287000.0,719300.0,68900.0,208100.0,218100.0,511200.0,2,1803,2.506271777003484,-0.3126085446335525,15.773378400128756,1803,2025-11-21,2572.0,7.737169517884923,1803,清水建設,False,True,建設業
2025-10-03,18120,56500.0,594700.0,14200.0,180800.0,42300.0,413900.0,2,1812,10.52566371681416,,,1812,2025-10-03,4211.0,5.675611493706967,1812,鹿島建設,False,True,建設業
2025-10-10,18120,63300.0,562200.0,16100.0,178000.0,47200.0,384200.0,2,1812,8.881516587677725,12.0353982300885,-5.464940306036659,1812,2025-10-10,4450.0,4.247191011235962,1812,鹿島建設,False,True,建設業
2025-10-17,18120,61000.0,517100.0,15300.0,169800.0,45700.0,347300.0,2,1812,8.47704918032787,-3.63349131121643,-8.022056207755245,1812,2025-10-17,4639.0,5.992670834231517,1812,鹿島建設,False,True,建設業
2025-10-24,18120,76900.0,606400.0,16500.0,202100.0,60400.0,404300.0,2,1812,7.88556566970091,26.065573770491813,17.26938696577065,1812,2025-10-24,4917.0,1.1999186495830871,1812,鹿島建設,False,True,建設業
2025-10-31,18120,72200.0,585700.0,14800.0,179100.0,57400.0,406600.0,2,1812,8.112188365650969,-6.111833550065016,-3.413588390501321,1812,2025-10-31,4976.0,3.2556270096463003,1812,鹿島建設,False,True,建設業
2025-11-07,18120,70400.0,713300.0,17800.0,268000.0,52600.0,445300.0,2,1812,10.132102272727272,-2.4930747922437657,21.7858972170053,1812,2025-11-07,5138.0,9.08913974309069,1812,鹿島建設,False,True,建設業
2025-11-14,18120,78600.0,914400.0,17600.0,293300.0,61000.0,621100.0,2,1812,11.63358778625954,11.64772727272727,28.192906210570577,1812,2025-11-14,5605.0,2.1052631578947434,1812,鹿島建設,False,True,建設業
2025-11-21,18120,83900.0,706800.0,17700.0,196200.0,66200.0,510600.0,2,1812,8.424314660309893,6.743002544529264,-22.703412073490817,1812,2025-11-21,5723.0,1.6949152542372836,1812,鹿島建設,False,True,建設業
2025-10-03,29140,495700.0,1779700.0,93100.0,1041400.0,402600.0,738300.0,2,2914,3.5902763768408312,,,2914,2025-10-03,4929.0,-0.5072022722661829,2914,日本たばこ産業,True,False,食料品
2025-10-10,29140,455600.0,1931300.0,93100.0,1072400.0,362500.0,858900.0,2,2914,4.239025460930641,-8.08957030461973,8.518289599370688,2914,2025-10-10,4904.0,2.100326264274055,2914,日本たばこ産業,True,False,食料品
2025-10-17,29140,455400.0,1815200.0,71500.0,989300.0,383900.0,825900.0,2,2914,3.9859464207290296,-0.0438981562774332,-6.01149484802982,2914,2025-10-17,5007.0,-0.7189934092270867,2914,日本たばこ産業,True,False,食料品
2025-10-24,29140,421300.0,1998600.0,68300.0,1058100.0,353000.0,940500.0,2,2914,4.743887965820081,-7.487922705314009,10.103569854561488,2914,2025-10-24,4971.0,7.9259706296519905,2914,日本たばこ産業,True,False,食料品
2025-10-31,29140,446900.0,2044700.0,63200.0,1142900.0,383700.0,901800.0,2,2914,4.575296486909823,6.07643009731782,2.306614630241177,2914,2025-10-31,5365.0,3.410997204100652,2914,日本たばこ産業,True,False,食料品
2025-11-07,29140,565000.0,1974900.0,67200.0,1139100.0,497800.0,835800.0,2,2914,3.4953982300884956,26.42649362273439,-3.413703721817385,2914,2025-11-07,5548.0,2.469358327325155,2914,日本たばこ産業,True,False,食料品
2025-11-14,29140,609900.0,2173200.0,72200.0,1162600.0,537700.0,1010600.0,2,2914,3.5632070831283817,7.9469026548672606,10.041014734923293,2914,2025-11-14,5685.0,1.4951627088830355,2914,日本たばこ産業,True,False,食料品
2025-11-21,29140,706500.0,2143600.0,110300.0,1112700.0,596200.0,1030900.0,2,2914,3.0341118188251945,15.838662075750133,-1.3620467513344336,2914,2025-11-21,5770.0,1.6811091854419313,2914,日本たばこ産業,True,False,食料品
2025-10-03,33820,904000.0,10555200.0,11800.0,7590500.0,892200.0,2964700.0,2,3382,11.676106194690265,,,3382,2025-10-03,1979.0,-3.4360788276907583,3382,セブン＆アイ・ホールディングス,True,False,小売業
2025-10-10,33820,762600.0,11148900.0,11600.0,7867900.0,751000.0,3281000.0,2,3382,14.619590873328088,-15.641592920353986,5.624715779899958,3382,2025-10-10,1911.0,4.186289900575613,3382,セブン＆アイ・ホールディングス,True,False,小売業
2025-10-17,33820,837000.0,9605300.0,12400.0,6956700.0,824600.0,2648600.0,2,3382,11.475866188769414,9.756097560975618,-13.845312093569772,3382,2025-10-17,1991.0,1.1551983927674536,3382,セブン＆アイ・ホールディングス,True,False,小売業
2025-10-24,33820,732700.0,8426900.0,11600.0,6096600.0,721100.0,2330300.0,2,3382,11.501160092807424,-12.461170848267622,-12.268226916389914,3382,2025-10-24,2014.0,-2.383316782522349,3382,セブン＆アイ・ホールディングス,True,False,小売業
2025-10-31,33820,599300.0,8413300.0,12900.0,5965700.0,586400.0,2447600.0,2,3382,14.038544969130651,-18.206633001228333,-0.1613879362517667,3382,2025-10-31,1966.0,1.1698880976602322,3382,セブン＆アイ・ホールディングス,True,False,小売業
2025-11-07,33820,631800.0,8174700.0,14500.0,5812500.0,617300.0,2362200.0,2,3382,12.938746438746438,5.422993492407802,-2.8359858795003134,3382,2025-11-07,1989.0,2.513826043237799,3382,セブン＆アイ・ホールディングス,True,False,小売業
2025-11-14,33820,634500.0,7027700.0,15300.0,4998500.0,619200.0,2029200.0,2,3382,11.075965327029158,0.4273504273504258,-14.03109594235874,3382,2025-11-14,2039.0,5.1495831289847915,3382,セブン＆アイ・ホールディングス,True,False,小売業
2025-11-21,33820,653000.0,4167800.0,15100.0,2841500.0,637900.0,1326300.0,2,3382,6.382542113323124,2.9156816390858875,-40.69467962491285,3382,2025-11-21,2144.0,0.1865671641791078,3382,セブン＆アイ・ホールディングス,True,False,小売業
2025-10-03,40630,374900.0,2436200.0,83200.0,1235100.0,291700.0,1201100.0,2,4063,6.498266204321152,,,4063,2025-10-03,5031.0,-0.21864440469091528,4063,信越化学工業,True,True,化学
2025-10-10,40630,336200.0,2330500.0,65000.0,1090700.0,271200.0,1239800.0,2,4063,6.931885782272457,-10.322752734062412,-4.33872424267302,4063,2025-10-10,5020.0,-2.4501992031872533,4063,信越化学工業,True,True,化学
2025-10-17,40630,268800.0,2428700.0,52000.0,1127700.0,216800.0,1301000.0,2,4063,9.035342261904765,-20.047590719809637,4.213688049774733,4063,2025-10-17,4897.0,0.16336532570961904,4063,信越化学工業,True,True,化学
2025-10-24,40630,225500.0,2753200.0,54800.0,1284600.0,170700.0,1468600.0,2,4063,12.209312638580933,-16.108630952380953,13.361057355787054,4063,2025-10-24,4905.0,-5.096839959225285,4063,信越化学工業,True,True,化学
2025-10-31,40630,132300.0,3879800.0,38400.0,1540400.0,93900.0,2339400.0,2,4063,29.325774754346185,-41.33037694013304,40.91965712625309,4063,2025-10-31,4655.0,-2.706766917293235,4063,信越化学工業,True,True,化学
2025-11-07,40630,148500.0,4023900.0,38100.0,1648900.0,110400.0,2375000.0,2,4063,27.096969696969698,12.244897959183664,3.714108974689423,4063,2025-11-07,4529.0,2.472952086553315,4063,信越化学工業,True,True,化学
2025-11-14,40630,128200.0,4001100.0,35100.0,1650200.0,93100.0,2350900.0,2,4063,31.209828393135727,-13.670033670033666,-0.5666144784910121,4063,2025-11-14,4641.0,-3.0381383322559796,4063,信越化学工業,True,True,化学
2025-11-21,40630,226600.0,4082500.0,55000.0,1761800.0,171600.0,2320700.0,2,4063,18.01632833186231,76.75507020280811,2.0344405288545753,4063,2025-11-21,4500.0,4.488888888888898,4063,信越化学工業,True,True,化学
