PublishedDate,Code,ApplicationDate,PublishReason,ShortMarginOutstanding,DailyChangeShortMarginOutstanding,ShortMarginOutstandingListedShareRatio,LongMarginOutstanding,DailyChangeLongMarginOutstanding,LongMarginOutstandingListedShareRatio,ShortLongRatio,ShortNegotiableMarginOutstanding,DailyChangeShortNegotiableMarginOutstanding,ShortStandardizedMarginOutstanding,DailyChangeShortStandardizedMarginOutstanding,LongNegotiableMarginOutstanding,DailyChangeLongNegotiableMarginOutstanding,LongStandardizedMarginOutstanding,DailyChangeLongStandardizedMarginOutstanding,TSEMarginBorrowingAndLendingRegulationClassification
2025-11-20,74550,2025-11-19,"{'Restricted': '0', 'DailyPublication': '0', 'Monitoring': '0', 'RestrictedByJSF': '1', 'PrecautionByJSF': '0', 'UnclearOrSecOnAlert': '0'}",1900.0,0.0,0.0034,29400.0,-32400.0,0.0518,6.5,0.0,0.0,1900.0,0.0,9600.0,-19600.0,19800.0,-12800.0,001
2025-11-20,75230,2025-11-19,"{'Restricted': '0', 'DailyPublication': '1', 'Monitoring': '0', 'RestrictedByJSF': '1', 'PrecautionByJSF': '0', 'UnclearOrSecOnAlert': '0'}",0.0,0.0,0.0,3667200.0,400.0,40.2656,0.0,0.0,0.0,0.0,0.0,5100.0,0.0,3662100.0,400.0,002
2025-11-20,76150,2025-11-19,"{'Restricted': '0', 'DailyPublication': '1', 'Monitoring': '0', 'RestrictedByJSF': '1', 'PrecautionByJSF': '0', 'UnclearOrSecOnAlert': '0'}",0.0,0.0,0.0,3469900.0,-53300.0,18.9072,0.0,0.0,0.0,0.0,0.0,1384600.0,13200.0,2085300.0,-66500.0,002
2025-11-20,76400,2025-11-19,"{'Restricted': '0', 'DailyPublication': '0', 'Monitoring': '0', 'RestrictedByJSF': '0', 'PrecautionByJSF': '1', 'UnclearOrSecOnAlert': '0'}",529900.0,6700.0,3.2681,518200.0,14100.0,3.1959,102.3,20300.0,20300.0,509600.0,-13600.0,112600.0,-2500.0,405600.0,16600.0,001
2025-11-20,77070,2025-11-19,"{'Restricted': '0', 'DailyPublication': '0', 'Monitoring': '0', 'RestrictedByJSF': '0', 'PrecautionByJSF': '1', 'UnclearOrSecOnAlert': '0'}",193700.0,-11700.0,0.7001,1316400.0,-16800.0,4.758,14.7,0.0,0.0,193700.0,-11700.0,904500.0,-20400.0,411900.0,3600.0,001
2025-11-20,77180,2025-11-19,"{'Restricted': '0', 'DailyPublication': '0', 'Monitoring': '0', 'RestrictedByJSF': '1', 'PrecautionByJSF': '0', 'UnclearOrSecOnAlert': '0'}",12700.0,0.0,0.0262,342900.0,36600.0,0.7073,3.7,10900.0,0.0,1800.0,0.0,268200.0,38100.0,74700.0,-1500.0,001
2025-11-20,77250,2025-11-19,"{'Restricted': '0', 'DailyPublication': '0', 'Monitoring': '0', 'RestrictedByJSF': '0', 'PrecautionByJSF': '1', 'UnclearOrSecOnAlert': '0'}",124000.0,-1500.0,1.0773,241400.0,12700.0,2.0973,51.4,7000.0,1000.0,117000.0,-2500.0,113800.0,100.0,127600.0,12600.0,001
2025-11-20,77260,2025-11-19,"{'Restricted': '0', 'DailyPublication': '0', 'Monitoring': '0', 'RestrictedByJSF': '0', 'PrecautionByJSF': '1', 'UnclearOrSecOnAlert': '0'}",800.0,-100.0,0.0139,57900.0,100.0,1.0081,1.4,0.0,0.0,800.0,-100.0,43700.0,0.0,14200.0,100.0,001
2025-11-20,77460,2025-11-19,"{'Restricted': '0', 'DailyPublication': '1', 'Monitoring': '0', 'RestrictedByJSF': '1', 'PrecautionByJSF': '0', 'UnclearOrSecOnAlert': '0'}",605000.0,-14900.0,2.0775,2870900.0,-120300.0,9.8583,21.1,200.0,200.0,604800.0,-15100.0,819400.0,-7900.0,2051500.0,-112400.0,002
2025-11-20,77690,2025-11-19,"{'Restricted': '0', 'DailyPublication': '0', 'Monitoring': '0', 'RestrictedByJSF': '0', 'PrecautionByJSF': '1', 'UnclearOrSecOnAlert': '0'}",9200.0,400.0,0.1097,946400.0,-4200.0,11.2867,1.0,100.0,0.0,9100.0,400.0,96700.0,-400.0,849700.0,-3800.0,001
