Date,Sector33Code,SellingExcludingShortSellingTurnoverValue,ShortSellingWithRestrictionsTurnoverValue,ShortSellingWithoutRestrictionsTurnoverValue
2025-11-25,5050,49066100400.0,38558976250.0,2518981550.0
2025-11-25,5100,16487721350.0,12203872300.0,1116517500.0
2025-11-25,5150,7415804100.0,5450519800.0,344248300.0
2025-11-25,5200,3520586300.0,1539080850.0,247856500.0
2025-11-25,5250,572822612346.0,188155976853.0,126701306980.0
2025-11-25,6050,151198894350.0,99687031950.0,15605268200.0
2025-11-25,6100,172546008920.0,105489496820.0,20481397380.0
2025-11-25,7050,219289081110.0,92165860990.0,10590859490.0
2025-11-25,7100,25494913600.0,12945465450.0,1267716450.0
2025-11-25,7150,87194687870.0,44782833100.0,2987055340.0
2025-11-25,7200,24690678550.0,10596164890.0,1034263280.0
2025-11-25,8050,63614432920.0,35494428130.0,3780193730.0
2025-11-25,9050,122450057220.0,62866948780.0,7052486350.0
2025-11-25,9999,198550606029.0,94322022428.0,30120021365.0
2025-11-21,0050,3005977000.0,1524531850.0,216175050.0
2025-11-21,1050,18474114400.0,11016275400.0,893476000.0
2025-11-21,2050,141353472800.0,75311921600.0,7561600950.0
2025-11-21,3050,260720982850.0,84966560450.0,6433131600.0
2025-11-21,3100,11977572900.0,7869392520.0,1019627520.0
2025-11-21,3150,3994079040.0,3149181110.0,212528330.0
2025-11-21,3200,194114354620.0,116857299770.0,9506851440.0
2025-11-21,3250,212194347550.0,85225456000.0,11846417000.0
2025-11-21,3300,19872578350.0,6668335300.0,612932800.0
2025-11-21,3350,26391338450.0,13320538600.0,1338929150.0
2025-11-21,3400,42528522420.0,28172303610.0,4527804780.0
2025-11-21,3450,23624430530.0,14277064530.0,827293800.0
2025-11-21,3500,365658034300.0,191989689300.0,55408500600.0
2025-11-21,3550,18214231050.0,10897129850.0,1645509500.0
2025-11-21,3600,537930257010.0,259673077970.0,60010539820.0
2025-11-21,3650,1405094096550.0,570557763300.0,194036557860.0
2025-11-21,3700,241854979420.0,150523487210.0,17753526140.0
2025-11-21,3750,77315126450.0,46270467700.0,4246664850.0
2025-11-21,3800,85282838670.0,50724832530.0,6084634080.0
2025-11-21,4050,107135150360.0,48287088110.0,11896506360.0
2025-11-21,5050,132233691900.0,92761935800.0,3439953600.0
2025-11-21,5100,29068491000.0,13362944400.0,1388657050.0
2025-11-21,5150,8699334500.0,6017487500.0,549380550.0
2025-11-21,5200,3396120250.0,1731946550.0,195379650.0
2025-11-21,5250,557975026729.0,234327306008.0,70833257770.0
2025-11-21,6050,219491257000.0,137387892100.0,25428965350.0
2025-11-21,6100,230711161820.0,126533110500.0,29946605070.0
2025-11-21,7050,257179627800.0,105408282410.0,14594357890.0
2025-11-21,7100,50087092650.0,23356501150.0,1866622400.0
2025-11-21,7150,193106424180.0,93428271450.0,4638454510.0
2025-11-21,7200,48787804170.0,30206836770.0,1624418660.0
2025-11-21,8050,110452082720.0,47246697110.0,4321103020.0
2025-11-21,9050,259197182100.0,90993492860.0,10482541160.0
2025-11-21,9999,256478432200.0,115031744080.0,47999040414.0
2025-11-20,0050,2765700150.0,1334841600.0,303593000.0
2025-11-20,1050,10238849000.0,4351150100.0,659390300.0
2025-11-20,2050,91355351900.0,47121973550.0,8271439400.0
2025-11-20,3050,77426855500.0,42620344100.0,6404272150.0
2025-11-20,3100,8186491670.0,5348949250.0,600034060.0
2025-11-20,3150,3065430220.0,1742280940.0,160037010.0
2025-11-20,3200,121690232940.0,92139072490.0,11126465530.0
2025-11-20,3250,148707400400.0,46525955350.0,16405565350.0
2025-11-20,3300,10342778400.0,6010276950.0,701068800.0
2025-11-20,3350,12570548050.0,10456255900.0,1403977700.0
2025-11-20,3400,32139401210.0,34267905220.0,5936580850.0
2025-11-20,3450,20230382980.0,10933721300.0,1105828650.0
2025-11-20,3500,350828755450.0,177093206550.0,86540477100.0
2025-11-20,3550,18948053950.0,11858175150.0,1441988800.0
2025-11-20,3600,415880881100.0,187896183280.0,84878271800.0
2025-11-20,3650,1113758909760.0,590421749400.0,256692496310.0
2025-11-20,3700,128795872800.0,87140438630.0,14396879450.0
2025-11-20,3750,40916405500.0,26111747550.0,4384657300.0
2025-11-20,3800,50751432340.0,33495309160.0,6034249460.0
2025-11-20,4050,127129733630.0,65199279610.0,16095324710.0
2025-11-20,5050,38027536500.0,32490754050.0,3213478900.0
2025-11-20,5100,14324615000.0,14311484000.0,1807843350.0
2025-11-20,5150,6151404750.0,3004427150.0,520787500.0
2025-11-20,5200,2664724500.0,1124093550.0,487779700.0
2025-11-20,5250,373441212637.0,234411238509.0,95631433920.0
2025-11-20,6050,129673017800.0,85498759450.0,17002259300.0
2025-11-20,6100,180144242170.0,103951694010.0,31227202060.0
2025-11-20,7050,191472835910.0,87975368740.0,13420608530.0
2025-11-20,7100,32212837350.0,12631971750.0,1918494900.0
2025-11-20,7150,117841277730.0,84366523910.0,6158101390.0
2025-11-20,7200,21581218350.0,12370162460.0,1798484960.0
2025-11-20,8050,46863671630.0,32526534560.0,3623436820.0
2025-11-20,9050,119239088520.0,62722225370.0,9083843540.0
2025-11-20,9999,314538378617.0,132770510233.0,37123758212.0
2025-11-19,0050,6024608200.0,3227997800.0,588108400.0
2025-11-19,1050,14371204800.0,4393959900.0,1029474700.0
2025-11-19,2050,104174408200.0,51236017900.0,9749779000.0
2025-11-19,3050,76941225350.0,44360292350.0,5678087450.0
2025-11-19,3100,11498332450.0,7391719260.0,631577200.0
2025-11-19,3150,3363219800.0,2118881500.0,115011590.0
2025-11-19,3200,124504749370.0,80992899430.0,8623446030.0
2025-11-19,3250,114660541500.0,50140566000.0,9783705550.0
2025-11-19,3300,9149043740.0,6388444090.0,1072823490.0
2025-11-19,3350,14982395200.0,9635961850.0,1179855600.0
2025-11-19,3400,27696606680.0,27441750520.0,3101354860.0
2025-11-19,3450,17555634150.0,8146606310.0,722621320.0
2025-11-19,3500,428982514050.0,195532129000.0,128783908500.0
2025-11-19,3550,18173308900.0,12536822050.0,1678303450.0
2025-11-19,3600,388558294000.0,220655416020.0,72915366850.0
2025-11-19,3650,980577451010.0,398661587170.0,240203684640.0
2025-11-19,3700,129449060380.0,100714701250.0,12736759520.0
2025-11-19,3750,52108669200.0,28620254650.0,3432216100.0
2025-11-19,3800,60468815520.0,43206254440.0,4438190290.0
2025-11-19,4050,107401663670.0,60901861570.0,11646214820.0
2025-11-19,5050,42287732350.0,31967264150.0,2234601200.0
2025-11-19,5100,17014675000.0,11972370150.0,1399569150.0
2025-11-19,5150,6874214050.0,3477687950.0,336172400.0
2025-11-19,5200,3164753300.0,1720800350.0,101399200.0
2025-11-19,5250,370424124174.0,236753284935.0,83908272530.0
2025-11-19,6050,165275076100.0,93949585900.0,22783700300.0
2025-11-19,6100,237231203690.0,108034294650.0,27588238160.0
2025-11-19,7050,186558242080.0,116776453600.0,12410407660.0
2025-11-19,7100,29435138600.0,16232882900.0,1616600600.0
2025-11-19,7150,69643098850.0,36194083630.0,3201191970.0
2025-11-19,7200,24406354520.0,13349772410.0,1188194880.0
2025-11-19,8050,48196280100.0,32023491950.0,3415265010.0
2025-11-19,9050,121611945140.0,57196111950.0,8609551990.0
2025-11-19,9999,244991520626.0,133886501763.0,56689951032.0
2025-11-18,0050,2063844250.0,1093889100.0,222424200.0
2025-11-18,1050,15064179100.0,5850042200.0,1229792200.0
2025-11-18,2050,93587452950.0,47856360150.0,10603742700.0
