top_n,month,n,days,pf,win_rate,total,avg,max_dd,max_loss,p05,cvar5,tuw_days
1,2021-01,19,19,0.5831732338498796,47.368421052631575,-10084.510386641025,-530.763704560054,-13449.112505880521,-7676.211671954252,-4330.394539049248,-7676.211671954252,9
1,2021-02,18,18,21.29361709195512,83.33333333333334,38350.98529850978,2130.6102943616547,-852.8050772168845,-852.8050772168854,-705.0708027696095,-852.8050772168854,5
1,2021-03,23,23,1.320157368632009,39.130434782608695,8320.30064848241,361.7522021079309,-17538.389614794985,-7003.318887554724,-5153.973619242593,-6156.983178394114,19
1,2021-04,19,19,2.639383891012512,68.42105263157895,28791.909231294005,1515.363643752316,-3343.9903024571777,-9447.787187215545,-3954.3699909330144,-9447.787187215545,4
1,2021-05,18,18,5.429125384731055,72.22222222222221,25160.741886534674,1397.8189936963709,-3125.009929152384,-3125.009929152384,-1472.9008302209227,-3125.009929152384,6
1,2021-06,22,22,0.9914269261967782,31.818181818181817,-125.84157079264742,-5.720071399665792,-13677.069192684074,-3632.3792679525695,-1771.9104342034302,-2704.541676161034,28
1,2021-07,20,20,1.162324863728225,55.00000000000001,2025.7234500355426,101.28617250177713,-8176.408167030922,-2695.989246628096,-2542.2076118159725,-2695.989246628096,17
1,2021-08,21,21,1.1287655423768068,57.14285714285714,1797.9387715038347,85.61613197637308,-6881.372942376704,-5153.169001009974,-2701.5197414961676,-3927.3443712530707,19
1,2021-09,20,20,0.7085557413362891,55.00000000000001,-37759.792386364505,-1887.9896193182253,-45479.909420265874,-39844.68471911496,-31603.420666714956,-39844.68471911496,9
1,2021-10,21,21,0.9340301382661574,47.61904761904761,-1817.0602208444839,-86.52667718307066,-17317.616865976583,-12849.27369774241,-3195.7606394013737,-8022.517168571892,21
1,2021-11,20,20,0.3266333580414798,40.0,-26067.582622454778,-1303.379131122739,-27998.099280460905,-9413.043175620123,-6722.340704548098,-9413.043175620123,25
1,2021-12,22,22,2.79448029007923,59.09090909090909,26318.495483448747,1196.2952492476704,-5275.332133243035,-4126.12933242018,-3706.1700542180915,-3924.6344582883066,14
1,2022-01,18,18,3.0485525593388982,66.66666666666666,27129.109860219884,1507.1727700122158,-7800.455280016535,-4485.6311868158855,-3490.4451572429352,-4485.6311868158855,7
1,2022-02,18,18,0.908669378406095,72.22222222222221,-2974.8802731230326,-165.27112628461293,-28408.14172959591,-22015.75174929885,-9230.54741776477,-22015.75174929885,19
1,2022-03,22,22,3.239830455067489,77.27272727272727,24507.192832087254,1113.9633105494206,-5753.57058578402,-3981.5312115896177,-3784.4067780649752,-3925.791533187123,15
1,2022-04,20,20,0.7484876293036838,45.0,-4341.663880100556,-217.0831940050278,-15007.371014396505,-4369.032681126237,-3579.1301212916446,-4369.032681126237,16
1,2022-05,18,18,0.8883661777225191,38.88888888888889,-2979.081241243124,-165.5045134023958,-20990.038416337593,-11389.021444407284,-4531.210015563665,-11389.021444407284,7
1,2022-06,22,22,1.5106632569647347,63.63636363636363,9339.81053973862,424.53684271539186,-11873.360351933094,-5802.775286521297,-3300.981356395375,-4565.661357720723,20
1,2022-07,20,20,11.523106501406277,80.0,39723.19600121314,1986.1598000606568,-2322.9161189900187,-2322.9161189900196,-1023.544954540141,-2322.9161189900196,8
1,2022-08,21,21,1.2426914790152,66.66666666666666,11807.288288669652,562.2518232699834,-26519.766779290967,-20946.223567846348,-15409.414246001437,-18177.818906923894,16
